sku,name,category,diameter_mm,length_mm,implant_type,connection_type,price_usd,min_stock
DXL-AB-45-G3,"DXL abatment 4.5 mm, gingival 3 mm",abutment,4.5,,Abatment,Internal hex,40.00,6
DXL-AB-5-G1,"DXL abatment 5 mm, gingival 1 mm",abutment,5,,Abatment,Internal hex,39.00,6
DXL-AB-5-G2,"DXL abatment 5 mm, gingival 2 mm",abutment,5,,Abatment,Internal hex,40.00,6
DXL-AB-5-G3,"DXL abatment 5 mm, gingival 3 mm",abutment,5,,Abatment,Internal hex,41.00,6
DXL-HC-35-H2,"DXL sog'aytiruvchi vint 3.5 mm, balandlik 2 mm",healing,3.5,2,Healing cap,Internal hex,14.00,10
DXL-HC-35-H3,"DXL sog'aytiruvchi vint 3.5 mm, balandlik 3 mm",healing,3.5,3,Healing cap,Internal hex,15.00,10
DXL-HC-35-H4,"DXL sog'aytiruvchi vint 3.5 mm, balandlik 4 mm",healing,3.5,4,Healing cap,Internal hex,16.00,10
DXL-HC-4-H2,"DXL sog'aytiruvchi vint 4 mm, balandlik 2 mm",healing,4,2,Healing cap,Internal hex,14.00,10
DXL-HC-4-H3,"DXL sog'aytiruvchi vint 4 mm, balandlik 3 mm",healing,4,3,Healing cap,Internal hex,15.00,10
DXL-HC-4-H4,"DXL sog'aytiruvchi vint 4 mm, balandlik 4 mm",healing,4,4,Healing cap,Internal hex,16.00,10
DXL-HC-45-H2,"DXL sog'aytiruvchi vint 4.5 mm, balandlik 2 mm",healing,4.5,2,Healing cap,Internal hex,14.00,10
DXL-HC-45-H3,"DXL sog'aytiruvchi vint 4.5 mm, balandlik 3 mm",healing,4.5,3,Healing cap,Internal hex,15.00,10
DXL-HC-45-H4,"DXL sog'aytiruvchi vint 4.5 mm, balandlik 4 mm",healing,4.5,4,Healing cap,Internal hex,16.00,10
DXL-HC-5-H2,"DXL sog'aytiruvchi vint 5 mm, balandlik 2 mm",healing,5,2,Healing cap,Internal hex,14.00,10
DXL-HC-5-H3,"DXL sog'aytiruvchi vint 5 mm, balandlik 3 mm",healing,5,3,Healing cap,Internal hex,15.00,10
DXL-HC-5-H4,"DXL sog'aytiruvchi vint 5 mm, balandlik 4 mm",healing,5,4,Healing cap,Internal hex,16.00,10
DXL-CS-33,DXL yopqich vint 3.3 mm,cover,3.3,,Cover screw,Internal hex,6.50,15
DXL-CS-38,DXL yopqich vint 3.8 mm,cover,3.8,,Cover screw,Internal hex,6.50,15
DXL-CS-43,DXL yopqich vint 4.3 mm,cover,4.3,,Cover screw,Internal hex,6.50,15
DXL-CS-48,DXL yopqich vint 4.8 mm,cover,4.8,,Cover screw,Internal hex,6.50,15
DXL-MU-0-G1,"DXL multi-unit abatment 0°, gingival 1 mm",multiunit,,,Multi-unit,Conical,49.00,4
DXL-MU-0-G3,"DXL multi-unit abatment 0°, gingival 3 mm",multiunit,,,Multi-unit,Conical,51.00,4
DXL-MU-17-G1,"DXL multi-unit abatment 17°, gingival 1 mm",multiunit,,,Multi-unit,Conical,59.20,4
DXL-MU-17-G3,"DXL multi-unit abatment 17°, gingival 3 mm",multiunit,,,Multi-unit,Conical,61.20,4
DXL-MU-30-G1,"DXL multi-unit abatment 30°, gingival 1 mm",multiunit,,,Multi-unit,Conical,67.00,4
DXL-MU-30-G3,"DXL multi-unit abatment 30°, gingival 3 mm",multiunit,,,Multi-unit,Conical,69.00,4
DXL-DR-20,DXL pilot bur 2.0 mm,instrument,,,Asbob,,42.00,3
DXL-DR-28,DXL bur 2.8 mm,instrument,,,Asbob,,45.00,3
DXL-DR-33,DXL bur 3.3 mm,instrument,,,Asbob,,45.00,3
DXL-DR-38,DXL bur 3.8 mm,instrument,,,Asbob,,48.00,3
DXL-DR-43,DXL bur 4.3 mm,instrument,,,Asbob,,48.00,3
DXL-KIT-BASIC,DXL jarrohlik to'plami (asosiy),instrument,,,Asbob,,390.00,1
DXL-RTCH,DXL raxovik (ratchet) kaliti,instrument,,,Asbob,,120.00,2
DXL-TRQ,DXL dinamometrik kalit,instrument,,,Asbob,,165.00,2
DXL-BG-05,DXL suyak materiali 0.5 g,biomaterial,,,Biomaterial,,58.00,6
DXL-BG-10,DXL suyak materiali 1.0 g,biomaterial,,,Biomaterial,,96.00,6
DXL-MEM-1520,DXL kollagen membrana 15x20 mm,biomaterial,,,Biomaterial,,72.00,5
DXL-MEM-2530,DXL kollagen membrana 25x30 mm,biomaterial,,,Biomaterial,,110.00,4
